SecurityID,IDType,Quantity,Price,SecurityName
AAPL,TICKER,5000,195.4,Apple Stock
MSFT,TICKER,3000,415.2,Microsoft Common
AMZN US,TICKER,600,180.5,Amazon.com
NVDA,TICKER,1100,925.7,NVIDIA Shares
JPM,TICKER,1200,165.3,JPMorgan Equity
023135CR5,CUSIP,1000000,102.4,Amazon 4.700 2032
46647PAV8,CUSIP,1000000,99.6,JPMorgan 4.203% 2029
594918CE2,CUSIP,1000000,95.8,Microsoft 2.921% due 2052
38141GXM1,CUSIP,2000000,98.75,GS Group Inc 1.093% Notes 2026
097023CV5,CUSIP,1500000,101.2,Boeing Co 5.705% Notes due 2040
